screen_name	user_id	tweet_count	story_count	stories_comma_separated
TodayPittsburgh	2601235821	77	61	424876288,201674752,446935810,9871042182,4291010951,8231029693,942494604,840897785,518978191,228344336,236609297,661936786,685817619,9381090457,413912219,368669340,445659677,132666147,817603110,6411066920,6441060307,7661019947,6871032876,746974770,174718131,3811107423,498989151,476849482,721895615,269825728,323802689,527932195,862484168,532708620,575796426,348675915,7181007439,477651409,345894739,861405433,655442648,7791112153,684890843,7841015930,825758558,487899999,2941038179,629338214,390692476,345483115,732852332,959769711,782947185,7621073779,559902206,634572150,5251089401,433373690,802600700,365601789,432493310
NewspeakDaily	2928870434	90	60	201674752,424876288,7661019947,9871042182,6971137153,942494604,518978191,236609297,661936786,685817619,325646614,741942296,5191199769,639546907,159686303,2101059873,131569186,132666147,817603110,812975985,6411066920,811717417,860874539,6871032876,357578800,990509236,4601135198,852667702,920537144,435861364,8231029693,994672192,323802689,532708620,725887884,348675915,538966434,9761124664,527932195,1911173860,283525463,7791112153,684890843,8781153712,7841015930,825758558,498989151,8211121472,2941038179,2181027300,641644394,732544619,7781170412,593678448,782947185,256671348,840897785,448939770,390692476,432493310
TheFoundingSon	4508630900	94	54	4421125761,1241264386,8171378310,3161251337,1731254539,3681215884,498989151,661936786,7991119764,4371464537,8411192345,6141308958,6281104543,9511162912,2101059873,259990178,293988581,4251092648,3151097464,6081285418,5541371181,6411154141,1801131186,5071416819,8281346356,3491139254,9891151419,408828994,5251195721,5271109922,3771110865,2941038179,366952536,4231198553,1121341533,3651214687,5111266657,6831193826,5831261923,8021262180,9491237221,5081132518,1491133308,1951191914,7781170412,2461182702,5261406320,2761222898,5731267571,2241098100,5261047413,7811248759,2531236600,3911263100
SouthLoneStar	4355797094	118	54	424876288,155892608,3571040642,670859395,3991299972,9871042182,3161251337,2541291786,3681215884,4411141645,241998351,113885811,7991119764,147909124,2011273120,7561117219,8171378310,4251092648,5151157930,4831057579,7621073779,805815860,565837237,781893945,119839549,593993602,323802689,6781268418,7661134533,3911352263,381873226,487991499,9011272268,8951128782,460819792,4171202646,366800199,4161165530,2691180636,448939770,8701316574,498989151,2181027300,5081132518,948869863,368919273,131871340,9851093106,5731267571,354908276,3301307335,840897785,4091283718,6081285418
Politweecs	2570631118	78	51	152707584,898466411,8171378310,323528839,942494604,677653900,228344336,582457493,7641344150,2581424279,2191388952,5191199769,4911411930,9511162912,9251362850,1321379235,5521432613,898630822,991629425,875529390,8781153712,1091401521,1801131186,8281346356,439474398,3491139254,989342175,593492412,1911447200,812639426,7661134533,835557702,862484168,320640969,9361372751,7911363649,6131415509,4231198553,4161165530,8701316574,772693157,497576162,817603110,132691560,345483115,258521452,825278440,2761222898,3611332348,432493310,2701461461
ScreamyMonkey	2943515140	90	51	155892608,653841923,957307910,567271687,141948244,2941038179,942494604,236609297,661936786,238511379,414602265,639546907,489616285,7951213214,456437157,955645167,6871032876,555617711,174718131,990509236,832618165,457500342,920537144,261532991,269825728,283525463,862484168,485436494,7181007439,903312592,739465939,284607188,477599573,840897785,366952536,772693157,131443168,716563555,519231972,186854649,280326762,345483115,732852332,174638191,944827252,961964277,579832822,878598393,455499898,877464830,732544619
TodayBostonMA	2591847731	67	50	201674752,424876288,446935810,147909124,9871042182,2961082248,942494604,592680206,518978191,228344336,236609297,685817619,7841015930,616337815,413912219,159686303,538966434,527932195,644593574,6411066920,811717417,7661019947,174718131,537654708,988250809,3811107423,498989151,8231029693,8211121472,323802689,725887884,7181007439,6441060307,5251089401,7791112153,684890843,433373690,825758558,989342175,716563555,824660582,629338214,245687278,174638191,782947185,432493310,861405433,448939770,390692476,318851454
Pamela_Moore13	4272870988	135	45	6891377835,8171378310,6811271489,2541291786,3681215884,9841185677,9031282968,2191388952,6801174682,9211343643,6101391130,2011273120,1321379235,4091283718,8601305894,4251092648,6081285418,3301307335,5541371181,488830365,5711242160,1091401521,8701316574,3991393206,9761124664,7561244475,7911363649,6781268418,3911352263,9361372751,2801223509,4161165530,6851392731,8691403358,3651214687,9691358304,5111266657,8021262180,1181376998,4131163483,7781170412,2761222898,5731267571,3911263100,5151157930
USA_Gunslinger	4332740714	88	43	3571040642,5461147179,679877895,732852332,7451070859,8071420930,910913296,7991119764,1031074455,8411192345,488830365,773807903,2101059873,259990178,7561117219,6621148714,4831057579,774903726,2781152559,1091401521,4601135198,3991393206,217922495,2181068406,140846662,366800199,9471197686,3771110865,7791112153,4161165530,6851392731,2181064542,498989151,883921250,5081132518,1631150567,7651063785,948869863,131871340,5731267571,5331020918,348844669,9521177854
DetroitDailyNew	2571870453	45	43	9871042182,4291010951,2961082248,6401080841,532708620,592680206,5581300504,661936786,325646614,741942296,387579805,2101059873,131569186,585514587,984767780,456437157,357578800,990509236,261532991,323802689,812639426,190816579,188967884,485436494,477651409,6441060307,141948244,5251089401,7791112153,684890843,721310428,131443168,2941038179,325341412,641644394,245687278,174638191,294340722,712560884,634572150,861405433,7841015930,390692476
BatonRougeVoice	3091979410	80	43	878835840,201674752,653841923,942494604,592680206,236609297,661936786,414602265,639546907,772693157,817603110,7661019947,6921026602,860874539,746974770,990509236,920537144,261532991,163984321,835557702,532708620,348675915,7181007439,959769711,253665880,449721305,991925211,825758558,966531296,155892608,716563555,2181027300,732544619,732852332,106513170,245687278,174638191,782947185,435861364,579832822,840897785,390692476,432493310
